Image Name,Dominant Colors
678bef0d2b062e33e2ae8ae1.png,"#3f3c3b (6.8%), #e3dfdc (44.5%), #4a96bc (15.6%), #20649c (28.7%)"
678bef0d2b062e33e2ae8ae2.png,"#cfcba8 (24.1%), #c4c0b8 (32.7%), #5b5958 (39.4%)"
678bef0d2b062e33e2ae8ae3.png,#cbc9c2 (97.0%)
678bef0d2b062e33e2ae8ae4.png,"#f8fafa (2.0%), #242730 (5.0%), #2c2c33 (71.5%), #292732 (16.0%)"
678bef0d2b062e33e2ae8ae5.png,"#d6d3cd (59.7%), #726855 (26.1%)"
678bef0d2b062e33e2ae8ae6.png,"#e0e1e3 (47.2%), #2b2b2c (2.1%), #2b333f (9.1%), #2c3344 (33.3%)"
678bef0d2b062e33e2ae8ae7.png,"#cfcdbd (56.7%), #ceb204 (26.3%), #dada57 (7.3%), #565656 (5.2%)"
678bef0d2b062e33e2ae8ae8.png,#adad9f (95.7%)
678bef0d2b062e33e2ae8ae9.png,#d3d1cf (98.1%)
678bef0d2b062e33e2ae8aeb.png,"#4d6784 (17.6%), #d6d5b9 (30.6%), #cdcdc9 (46.4%)"
678bef0d2b062e33e2ae8aec.png,"#be6c4c (17.9%), #c6c5c6 (76.6%)"
678bef0d2b062e33e2ae8aed.png,"#343431 (5.1%), #ac8763 (14.7%), #cabba3 (62.7%), #989890 (13.4%)"
678bef0d2b062e33e2ae8aef.png,"#a7a69f (13.2%), #cfc5ad (75.4%)"
678bef0d2b062e33e2ae8af3.png,"#bf5629 (10.5%), #be703b (2.4%), #d9d8d7 (76.9%)"
678bef0d2b062e33e2ae8b0d.png,"#dfdddb (82.9%), #b84244 (2.0%), #ad5251 (10.2%)"
678bef0d2b062e33e2ae8b1c.png,"#986f41 (13.7%), #4a7050 (2.8%), #e1e0e2 (74.2%), #719282 (5.4%)"
678bef0d2b062e33e2ae8b1d.png,"#d5a444 (5.1%), #4e7290 (4.1%), #585660 (15.8%), #dcd5cb (69.5%)"
678bef0d2b062e33e2ae8b1e.png,"#608cc5 (5.2%), #be8592 (3.7%), #bba696 (8.0%), #626b4d (4.2%), #dcdcd6 (76.5%)"
678bef0d2b062e33e2ae8b1f.png,"#f9f9f9 (2.2%), #282725 (3.6%), #584f4f (3.1%), #564b4e (2.1%), #3e3a36 (12.1%), #302c2d (72.6%)"
678bef0d2b062e33e2ae8b28.png,"#ba3840 (19.2%), #2a2a2f (4.1%), #dedcd1 (70.7%)"
678bef0d2b062e33e2ae8b29.png,#c5c3b2 (92.9%)
678bef0d2b062e33e2ae8b2a.png,"#cfcdbb (80.2%), #83634f (4.8%)"
678bef0d2b062e33e2ae8b2c.png,"#222222 (2.9%), #ce0629 (2.2%), #b01a28 (15.7%), #eeece7 (72.7%)"
678bef0d2b062e33e2ae8b2e.png,#cfcdca (99.7%)
678bef0d2b062e33e2ae8b32.png,"#2f3d47 (3.9%), #3b3039 (2.7%), #d8d1ce (87.4%)"
678bef0d2b062e33e2ae8b34.png,"#153565 (21.1%), #e5e4e0 (73.4%), #202020 (2.2%)"
678bef0d2b062e33e2ae8b35.png,"#252324 (2.3%), #212121 (8.1%), #eae9e4 (81.8%)"
678bef0d2b062e33e2ae8b38.png,"#27262b (13.3%), #242225 (3.3%), #909091 (77.6%)"
678bef0d2b062e33e2ae8b39.png,"#948f8e (4.7%), #9f9d9b (93.0%)"
678bef0d2b062e33e2ae8b3a.png,"#c4c6c9 (8.8%), #bebaae (33.5%), #404750 (2.3%), #3f536a (39.9%)"
678bef0d2b062e33e2ae8b3c.png,"#e3b610 (6.3%), #94593f (6.7%), #cfc19f (2.3%), #e8d8b8 (13.9%), #cac8bc (5.7%), #e5e6e0 (2.8%), #4d6243 (3.1%), #657f5c (47.5%)"
678bef0d2b062e33e2ae8b3d.png,#cfc7bf (95.0%)
678bef0d2b062e33e2ae8b3e.png,"#2a2a2b (3.6%), #b4b3b3 (69.8%), #35343a (22.6%)"
678bef0d2b062e33e2ae8b40.png,"#4a536a (9.5%), #2a2a2a (2.7%), #aeada7 (85.0%)"
678bef0d2b062e33e2ae8b41.png,"#2b2823 (4.4%), #f7f6f4 (22.3%), #e0dbc8 (5.1%), #b8afa6 (8.2%), #284534 (50.9%)"
678bef0d2b062e33e2ae8b42.png,"#29282e (52.4%), #251f21 (3.5%), #353435 (37.1%)"
678bef0d2b062e33e2ae8b43.png,"#573251 (4.8%), #2b3e5d (9.9%), #999897 (76.6%), #393b3f (3.3%)"
678bef0d2b062e33e2ae8b44.png,"#495f7e (6.6%), #2d2e2d (2.5%), #1e2464 (49.1%), #c4c5c3 (28.8%), #919899 (5.6%)"
678bef0d2b062e33e2ae8b45.png,"#945d60 (3.7%), #cbcbc8 (91.7%)"
678bef0d2b062e33e2ae8b48.png,"#8e900a (6.1%), #c5c5b0 (20.3%), #212528 (4.5%), #353535 (7.5%), #03342c (49.1%), #1a3b3d (2.9%)"
678bef0d2b062e33e2ae8b49.png,#a19f9d (94.9%)
678bef0d2b062e33e2ae8b4a.png,"#2f2e33 (2.4%), #bcb9b8 (95.1%)"
678bef0d2b062e33e2ae8b4c.png,"#8f910c (6.6%), #c7c9b3 (18.9%), #242427 (4.5%), #2f302b (2.2%), #393939 (6.4%), #01352b (48.2%), #1c4040 (5.7%)"
678bef0d2b062e33e2ae8b4d.png,"#2e2e32 (2.3%), #9fa09b (93.9%)"
678bef0d2b062e33e2ae8b4e.png,"#2c2c31 (2.9%), #d8dade (20.6%), #8f8d8d (11.1%), #2a344a (56.0%)"
678bef0d2b062e33e2ae8b4f.png,"#81795b (7.8%), #bdbaa7 (88.3%)"
678bef0d2b062e33e2ae8b50.png,#c6bdbf (93.5%)
678bef0d2b062e33e2ae8b51.png,"#413e49 (2.7%), #9f9f9f (75.9%), #37363c (20.8%)"
678bef0d2b062e33e2ae8b52.png,"#464d63 (9.4%), #262626 (2.9%), #a8a6a1 (83.5%)"
678bef0d2b062e33e2ae8b53.png,"#26262a (10.6%), #232124 (3.0%), #878788 (80.6%)"
678bef0d2b062e33e2ae8b54.png,"#464648 (4.8%), #c9c5bf (93.4%)"
678bef0d2b062e33e2ae8b55.png,"#3d383c (5.9%), #323133 (42.8%), #29282d (48.5%)"
678bef0d2b062e33e2ae8b56.png,"#90858a (2.5%), #3b363a (2.5%), #3b3839 (7.2%), #172032 (6.0%), #1c2947 (32.6%), #949098 (4.6%), #d5d3dc (29.9%), #c1b2b4 (3.4%)"
678bef0d2b062e33e2ae8b57.png,#b3b0af (94.5%)
678bef0d2b062e33e2ae8b58.png,"#2c2c31 (2.1%), #a09d9d (95.1%)"
678bef0d2b062e33e2ae8b59.png,"#7b5e47 (4.7%), #d6ccaf (7.4%), #4b4c51 (3.9%), #cccac5 (79.2%)"
678bef0d2b062e33e2ae8b5a.png,"#c6af58 (6.3%), #b8b29e (37.0%), #163d57 (49.6%)"
678bef0d2b062e33e2ae8b5b.png,"#cec3b8 (82.7%), #342e35 (2.5%), #4a465b (2.2%), #464151 (4.4%)"
